categoria_de_recomendacion,recomendacion,que_recomiendan_especificamente,relevancia_spec,consenso_de_todas,consenso_mayor_60,n_guias_mayor_60_y_guias,consenso_50_60,n_guias_50_60_y_guias,senal_comparativa_global,prioridad_revision,total_recomendaciones
Treatment resistance and biological interventions,Clozapine for treatment-resistant schizophrenia,"Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia.",core,Moderado: 12/19 guias (63%); discordante; dominante: considera/sugiere (31); recomienda=17; ofrece=8; considera/sugiere=31; en contra/no hacer=4; evalua/monitoriza=2,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (13); recomienda=11; considera/sugiere=13; evalua/monitoriza=1,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: considera/sugiere (5); recomienda=1; ofrece=3; considera/sugiere=5; en contra/no hacer=2; evalua/monitoriza=1,4/6: Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,62
Antipsychotic strategy across illness phases,LAI/depot antipsychotics and adherence,"Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano.",core,Moderado: 13/19 guias (68%); discordante; dominante: considera/sugiere (13); recomienda=4; ofrece=6; considera/sugiere=13; en contra/no hacer=5; evalua/monitoriza=7,Alto: 2/2 guias (100%); discordante; dominante: evalua/monitoriza (4); considera/sugiere=2; evalua/monitoriza=4,2/2: APA 2020; VA/DoD 2024,Alto: 5/6 guias (83%); discordante; dominante: ofrece (4); recomienda=2; ofrece=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1,5/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,35
Psychosocial and recovery interventions,CBTp and psychological therapies,"Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles.",core,Moderado: 11/19 guias (58%); discordante; dominante: ofrece (11); recomienda=8; ofrece=11; considera/sugiere=8; en contra/no hacer=1; evalua/monitoriza=1,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (4); recomienda=2; considera/sugiere=4; evalua/monitoriza=1,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: ofrece (5); recomienda=2; ofrece=5; considera/sugiere=1,4/6: Canada Psicosocial 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,29
Antipsychotic strategy across illness phases,"Dose, titration and adequate trial duration","Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion.",core,Moderado: 11/19 guias (58%); discordante; dominante: considera/sugiere (13); recomienda=5; ofrece=2; considera/sugiere=13; en contra/no hacer=4; evalua/monitoriza=4,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (8); recomienda=1; considera/sugiere=8; en contra/no hacer=1,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: recomienda (2); recomienda=2; ofrece=2; considera/sugiere=1; evalua/monitoriza=1,4/6: Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,28
"Safety, adverse effects and physical health","Physical, metabolic and cardiovascular monitoring","Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas.",core,Bajo: 8/19 guias (42%); discordante; dominante: considera/sugiere (11); recomienda=3; ofrece=2; considera/sugiere=11; en contra/no hacer=1; evalua/monitoriza=9,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (5); recomienda=1; considera/sugiere=5; en contra/no hacer=1; evalua/monitoriza=4,2/2: APA 2020; VA/DoD 2024,Bajo: 2/6 guias (33%); discordante; dominante: considera/sugiere (3); considera/sugiere=3,2/6: Canada Dx 2017; RANZCP GRADE 2026,mixed/discordant,high,26
"Assessment, risk and shared decision-making","Diagnostic assessment, baseline workup and care planning","Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados.",core,Bajo: 7/19 guias (37%); discordante; dominante: evalua/monitoriza (13); recomienda=6; ofrece=1; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=13,Alto: 2/2 guias (100%); discordante; dominante: recomienda (4); recomienda=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2,2/2: APA 2020; VA/DoD 2024,Bajo: 2/6 guias (33%); discordante; dominante: evalua/monitoriza (5); recomienda=1; evalua/monitoriza=5,2/6: Canada Dx 2017; WHO mhGAP 2024,mixed/discordant,high,25
Antipsychotic strategy across illness phases,Maintenance treatment and relapse prevention,"Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento.",core,Bajo: 9/19 guias (47%); discordante; dominante: ofrece (6); recomienda=5; ofrece=6; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=4,Alto: 2/2 guias (100%); discordante; dominante: recomienda (4); recomienda=4; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=2,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); discordante; dominante: ofrece (3); ofrece=3; evalua/monitoriza=2,4/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026; WHO mhGAP 2024,mixed/discordant,high,20
Antipsychotic strategy across illness phases,Antipsychotic choice and comparative selection,"Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia.",core,Bajo: 8/19 guias (42%); discordante; dominante: recomienda (12); recomienda=12; ofrece=2; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1,Moderado: 1/2 guias (50%); discordante; dominante: recomienda (3); recomienda=3; en contra/no hacer=1,1/2: VA/DoD 2024,Moderado: 3/6 guias (50%); discordante; dominante: recomienda (3); recomienda=3; ofrece=1; considera/sugiere=1,3/6: Canada Farmaco 2017; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,19
"Safety, adverse effects and physical health",Antipsychotic adverse-effect management,"Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos.",core,Bajo: 7/19 guias (37%); discordante; dominante: recomienda (11); recomienda=11; considera/sugiere=7; en contra/no hacer=1,Alto: 2/2 guias (100%); discordante; dominante: recomienda (7); recomienda=7; considera/sugiere=2; en contra/no hacer=1,2/2: APA 2020; VA/DoD 2024,Escaso: 1/6 guias (17%); discordante; dominante: recomienda (2); recomienda=2; considera/sugiere=1,1/6: RANZCP GRADE 2026,mixed/discordant,high,19
Early psychosis and acute care,"Acute agitation, rapid tranquillisation and crisis setting","Priorizar evaluacion rapida, desescalada y equipos de crisis; usar tratamiento comunitario/crisis cuando sea posible y tranquilizacion rapida o formulaciones parenterales si la via oral no es viable o hay riesgo inmediato.",core,Escaso: 4/19 guias (21%); discordante; dominante: recomienda (7); recomienda=7; ofrece=3; considera/sugiere=5; en contra/no hacer=1,Ausente: 0/2 guias (0%); discordante; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); discordante; sin recomendaciones,0/6: ninguna,mixed/discordant,high,16
Comorbidity and special populations,Substance use comorbidity,"Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal.",core,Bajo: 8/19 guias (42%); discordante; dominante: considera/sugiere (4); recomienda=2; considera/sugiere=4; en contra/no hacer=2; evalua/monitoriza=1,Ausente: 0/2 guias (0%); discordante; sin recomendaciones,0/2: ninguna,Moderado: 3/6 guias (50%); discordante; dominante: considera/sugiere (2); considera/sugiere=2; en contra/no hacer=1,3/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP 2016,mixed/discordant,high,9
Early psychosis and acute care,Acute antipsychotic initiation,Iniciar antipsicotico oral en psicosis aguda o primer episodio con participacion especializada; no iniciarlo en atencion primaria sin consulta psiquiatrica; combinar con intervenciones psicosociales cuando corresponda.,core,Escaso: 2/19 guias (11%); discordante; dominante: recomienda (2); recomienda=2; ofrece=2; considera/sugiere=1; en contra/no hacer=1,Ausente: 0/2 guias (0%); discordante; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); discordante; sin recomendaciones,0/6: ninguna,mixed/discordant,high,6
Psychosocial and recovery interventions,Family intervention and psychoeducation,"Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses.",core,Moderado: 10/19 guias (53%); alineado/escaso; dominante: ofrece (12); recomienda=7; ofrece=12; considera/sugiere=4; evalua/monitoriza=4,Alto: 2/2 guias (100%); alineado/escaso; dominante: recomienda (4); recomienda=4; considera/sugiere=4; evalua/monitoriza=1,2/2: APA 2020; VA/DoD 2024,Moderado: 4/6 guias (67%); alineado/escaso; dominante: ofrece (6); recomienda=1; ofrece=6; evalua/monitoriza=2,4/6: Canada Psicosocial 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,broad recurrent theme,medium,27
Early psychosis and acute care,First episode psychosis and early intervention,"Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion.",core,Moderado: 10/19 guias (53%); alineado/escaso; dominante: recomienda (11); recomienda=11; ofrece=2; considera/sugiere=6; evalua/monitoriza=2,Moderado: 1/2 guias (50%); alineado/escaso; dominante: recomienda (1); recomienda=1,1/2: VA/DoD 2024,Moderado: 4/6 guias (67%); alineado/escaso; dominante: considera/sugiere (2); recomienda=1; ofrece=1; considera/sugiere=2; evalua/monitoriza=1,4/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP 2016; WHO mhGAP 2024,broad recurrent theme,medium,21
Treatment resistance and biological interventions,Clozapine safety and monitoring,"Usar clozapina bajo supervision especializada con disponibilidad de laboratorios; monitorizar hemograma, niveles plasmaticos, adherencia y efectos adversos; planificar discontinuacion por riesgo de rebote o recaida.",core,Bajo: 5/19 guias (26%); alineado/escaso; dominante: ofrece (3); recomienda=1; ofrece=3; considera/sugiere=3; evalua/monitoriza=2,Alto: 2/2 guias (100%); alineado/escaso; dominante: considera/sugiere (3); considera/sugiere=3,2/2: APA 2020; VA/DoD 2024,Escaso: 1/6 guias (17%); alineado/escaso; dominante: ofrece (1); ofrece=1,1/6: WHO mhGAP 2024,mostly aligned or sparse,low,9
"Assessment, risk and shared decision-making",Shared decision-making and patient preferences,"Tomar decisiones con la persona y, si consiente, cuidadores; discutir beneficios, efectos adversos y preferencias; acordar planes de medicacion, transicion y objetivos de tratamiento.",core,Escaso: 4/19 guias (21%); alineado/escaso; dominante: recomienda (3); recomienda=3; ofrece=1; considera/sugiere=2; evalua/monitoriza=1,Moderado: 1/2 guias (50%); alineado/escaso; dominante: recomienda (1); recomienda=1; evalua/monitoriza=1,1/2: VA/DoD 2024,Bajo: 2/6 guias (33%); alineado/escaso; dominante: recomienda (1); recomienda=1; considera/sugiere=1,2/6: Canada Psicosocial 2017; Canada Dx 2017,mostly aligned or sparse,low,7
"Assessment, risk and shared decision-making","Risk assessment: suicide, aggression and immediate safety","Evaluar suicidio, autoagresion, agresion, violencia y seguridad inmediata en la valoracion; activar rutas de crisis o guias de autolesion cuando haya riesgo.",core,Escaso: 4/19 guias (21%); alineado/escaso; dominante: recomienda (2); recomienda=2; evalua/monitoriza=2,Moderado: 1/2 guias (50%); alineado/escaso; dominante: evalua/monitoriza (1); evalua/monitoriza=1,1/2: APA 2020,Escaso: 1/6 guias (17%); alineado/escaso; dominante: evalua/monitoriza (1); evalua/monitoriza=1,1/6: Canada Dx 2017,mostly aligned or sparse,low,4
Psychosocial and recovery interventions,Combined pharmacological and psychosocial care,"Combinar farmacoterapia antipsicotica con intervenciones psicosociales, familiares, CBTp o rehabilitacion segun fase, necesidades funcionales y nivel de atencion.",core,Escaso: 3/19 guias (16%); alineado/escaso; dominante: considera/sugiere (2); recomienda=1; considera/sugiere=2,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Escaso: 1/6 guias (17%); alineado/escaso; dominante: considera/sugiere (1); considera/sugiere=1,1/6: RANZCP GRADE 2026,mostly aligned or sparse,low,3
Antipsychotic strategy across illness phases,Switching and non-response before clozapine,"Ante respuesta parcial o nula, verificar adherencia, dosis, duracion y tolerabilidad; considerar cambio de antipsicotico antes de clozapina cuando no se cumplen criterios de resistencia.",core,Escaso: 1/19 guias (5%); alineado/escaso; dominante: considera/sugiere (1); considera/sugiere=1,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); alineado/escaso; sin recomendaciones,0/6: ninguna,mostly aligned or sparse,low,1
Functional rehabilitation and participation,"Supported employment, education and vocational rehabilitation","Ofrecer empleo apoyado/IPS a quienes desean trabajar o volver a estudiar/trabajar; considerar apoyo educativo, vocacional o prevocacional si no puede acceder aun a empleo competitivo.",supportive,Bajo: 7/19 guias (37%); discordante; dominante: recomienda (10); recomienda=10; ofrece=3; considera/sugiere=3; en contra/no hacer=2; evalua/monitoriza=2,Alto: 2/2 guias (100%); discordante; dominante: recomienda (4); recomienda=4; considera/sugiere=3; en contra/no hacer=1,2/2: APA 2020; VA/DoD 2024,Escaso: 1/6 guias (17%); discordante; dominante: recomienda (1); recomienda=1; ofrece=1; evalua/monitoriza=1,1/6: Canada Psicosocial 2017,mixed/discordant,high,20
Psychosocial and recovery interventions,"Social skills, recovery and self-management","Considerar programas manualizados de automanejo, apoyo de pares y recuperacion; incluir informacion sobre medicacion, recaida y metas; el entrenamiento de habilidades sociales no se recomienda de rutina como intervencion aislada en algunas guias.",supportive,Bajo: 5/19 guias (26%); discordante; dominante: considera/sugiere (13); recomienda=2; considera/sugiere=13; en contra/no hacer=1; evalua/monitoriza=2,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (10); considera/sugiere=10,2/2: APA 2020; VA/DoD 2024,Escaso: 1/6 guias (17%); discordante; dominante: recomienda (1); recomienda=1,1/6: Canada Psicosocial 2017,mixed/discordant,high,18
"Safety, adverse effects and physical health","Weight management, lifestyle and metformin","Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo.",supportive,Bajo: 7/19 guias (37%); discordante; dominante: ofrece (5); ofrece=5; considera/sugiere=4; en contra/no hacer=1; evalua/monitoriza=2,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (1); considera/sugiere=1; evalua/monitoriza=1,2/2: APA 2020; VA/DoD 2024,Bajo: 2/6 guias (33%); discordante; dominante: ofrece (3); ofrece=3; considera/sugiere=2; evalua/monitoriza=1,2/6: RANZCP GRADE 2026; RANZCP 2016,mixed/discordant,high,12
Early psychosis and acute care,At-risk mental state and prevention of psychosis,Usar evaluacion especializada y herramientas de tamizaje para riesgo de transicion; ofrecer apoyo psicologico/familiar y seguimiento temprano; no usar antipsicoticos de rutina solo por estado de alto riesgo.,supportive,Escaso: 3/19 guias (16%); discordante; dominante: considera/sugiere (2); recomienda=1; considera/sugiere=2; en contra/no hacer=1,Moderado: 1/2 guias (50%); discordante; dominante: considera/sugiere (2); considera/sugiere=2,1/2: VA/DoD 2024,Ausente: 0/6 guias (0%); discordante; sin recomendaciones,0/6: ninguna,mixed/discordant,high,4
Comorbidity and special populations,"Depression, anxiety, PTSD and trauma","Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique.",supportive,Bajo: 9/19 guias (47%); alineado/escaso; dominante: ofrece (4); recomienda=3; ofrece=4; considera/sugiere=3; evalua/monitoriza=3,Moderado: 1/2 guias (50%); alineado/escaso; dominante: evalua/monitoriza (1); evalua/monitoriza=1,1/2: APA 2020,Moderado: 3/6 guias (50%); alineado/escaso; dominante: ofrece (2); recomienda=1; ofrece=2; evalua/monitoriza=1,3/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026,broad recurrent theme,medium,13
"Service delivery, continuity and implementation","ACT, case management and community service models","Usar ACT, manejo intensivo de casos o atencion comunitaria coordinada cuando hay mala vinculacion, recaidas frecuentes, disrupcion social, falta de vivienda o alta necesidad de continuidad.",supportive,Bajo: 5/19 guias (26%); alineado/escaso; dominante: recomienda (9); recomienda=9; ofrece=1; considera/sugiere=2; evalua/monitoriza=4,Alto: 2/2 guias (100%); alineado/escaso; dominante: recomienda (7); recomienda=7; evalua/monitoriza=4,2/2: APA 2020; VA/DoD 2024,Escaso: 1/6 guias (17%); alineado/escaso; dominante: considera/sugiere (1); considera/sugiere=1,1/6: RANZCP 2016,mostly aligned or sparse,low,16
"Service delivery, continuity and implementation","Primary care transition, discharge and follow-up continuity","Planificar alta, continuidad y opcion de auto-derivacion; comunicar responsabilidades a atencion primaria; usar equipos de crisis/tratamiento domiciliario para evitar ingresos o facilitar alta segura.",supportive,Bajo: 6/19 guias (32%); alineado/escaso; dominante: considera/sugiere (6); recomienda=1; ofrece=3; considera/sugiere=6,Moderado: 1/2 guias (50%); alineado/escaso; dominante: ofrece (1); ofrece=1,1/2: APA 2020,Escaso: 1/6 guias (17%); alineado/escaso; dominante: considera/sugiere (1); considera/sugiere=1,1/6: RANZCP 2016,mostly aligned or sparse,low,10
Psychosocial and recovery interventions,"Cognitive remediation, metacognitive and social cognition training","Considerar entrenamiento neurocognitivo, metacognitivo o de cognicion social como complemento en deterioro cognitivo, funcional o social, usualmente integrado a rehabilitacion psicosocial.",supportive,Escaso: 3/19 guias (16%); alineado/escaso; dominante: considera/sugiere (9); considera/sugiere=9,Moderado: 1/2 guias (50%); alineado/escaso; dominante: considera/sugiere (4); considera/sugiere=4,1/2: APA 2020,Ausente: 0/6 guias (0%); alineado/escaso; sin recomendaciones,0/6: ninguna,mostly aligned or sparse,low,9
Comorbidity and special populations,Negative symptoms,"Evaluar sintomas negativos y causas secundarias como depresion, EPS, sedacion o sustancias; considerar intervenciones psicosociales/artisticas y, si se cambia antipsicotico, opciones como agonistas parciales D2 o amisulprida segun contexto.",supportive,Escaso: 4/19 guias (21%); alineado/escaso; dominante: considera/sugiere (3); recomienda=1; considera/sugiere=3; evalua/monitoriza=3,Moderado: 1/2 guias (50%); alineado/escaso; dominante: considera/sugiere (2); considera/sugiere=2,1/2: VA/DoD 2024,Escaso: 1/6 guias (17%); alineado/escaso; dominante: evalua/monitoriza (3); evalua/monitoriza=3,1/6: Canada Dx 2017,mostly aligned or sparse,low,7
Comorbidity and special populations,"Pregnancy, reproductive and perinatal care","Discutir anticoncepcion, embarazo, lactancia y riesgos reproductivos con la paciente y apoyo significativo; coordinar atencion perinatal/madre-bebe y monitorizar riesgos de medicacion y recaida.",supportive,Escaso: 3/19 guias (16%); alineado/escaso; dominante: recomienda (3); recomienda=3; evalua/monitoriza=3,Moderado: 1/2 guias (50%); alineado/escaso; dominante: evalua/monitoriza (1); evalua/monitoriza=1,1/2: APA 2020,Escaso: 1/6 guias (17%); alineado/escaso; dominante: recomienda (1); recomienda=1,1/6: RANZCP 2016,mostly aligned or sparse,low,6
Treatment resistance and biological interventions,ECT and other biological treatments,"Considerar ECT u otras intervenciones biologicas en situaciones seleccionadas, como catatonia, cuadros graves o resistencia cuando clozapina no es viable; documentar parametros, respuesta y seguridad.",supportive,Escaso: 3/19 guias (16%); alineado/escaso; dominante: recomienda (2); recomienda=2; considera/sugiere=2,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Escaso: 1/6 guias (17%); alineado/escaso; dominante: considera/sugiere (1); considera/sugiere=1,1/6: RANZCP 2016,mostly aligned or sparse,low,4
Antipsychotic strategy across illness phases,Antipsychotic polypharmacy and combinations,"Evitar la combinacion regular de antipsicoticos salvo periodos breves de cambio/cross-taper o escenarios muy justificados; antes de combinar, verificar adherencia, dosis, duracion y resistencia real.",supportive,Escaso: 2/19 guias (11%); alineado/escaso; dominante: en contra/no hacer (2); en contra/no hacer=2; evalua/monitoriza=1,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); alineado/escaso; sin recomendaciones,0/6: ninguna,mostly aligned or sparse,low,3
Antipsychotic strategy across illness phases,"Discontinuation, tapering and dose reduction","Plantear reduccion o discontinuacion solo de forma cautelosa, gradual, individualizada y con decision compartida; evitar suspension abrupta o tratamiento intermitente sin plan de recaida.",supportive,Escaso: 1/19 guias (5%); alineado/escaso; dominante: ofrece (2); ofrece=2,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); alineado/escaso; sin recomendaciones,0/6: ninguna,mostly aligned or sparse,low,2
"Assessment, risk and shared decision-making",Measurement-based monitoring and symptom assessment,No quedaron recomendaciones retenidas en esta categoria tras la verificacion; mantener como marcador taxonomico o revisar manualmente si se quiere medir escalas repetidas de sintomas/funcionamiento.,supportive,Ausente: 0/19 guias (0%); alineado/escaso; sin recomendaciones,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); alineado/escaso; sin recomendaciones,0/6: ninguna,not captured after curation,low,0
"Safety, adverse effects and physical health",Smoking cessation and tobacco,"Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos.",peripheral,Bajo: 6/19 guias (32%); discordante; dominante: recomienda (2); recomienda=2; ofrece=2; considera/sugiere=2; en contra/no hacer=1; evalua/monitoriza=2,Alto: 2/2 guias (100%); discordante; dominante: recomienda (2); recomienda=2; considera/sugiere=1,2/2: APA 2020; VA/DoD 2024,Escaso: 1/6 guias (17%); discordante; dominante: evalua/monitoriza (1); evalua/monitoriza=1,1/6: Canada Dx 2017,mixed/discordant,high,9
Comorbidity and special populations,"Culture, equity, age and other special populations","Adaptar la atencion a contexto cultural, edad y equidad; buscar supervision transcultural cuando sea necesario; usar antipsicoticos en adolescentes u otros grupos especiales bajo supervision especializada.",peripheral,Escaso: 4/19 guias (21%); alineado/escaso; dominante: recomienda (6); recomienda=6; considera/sugiere=1; evalua/monitoriza=1,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Moderado: 3/6 guias (50%); alineado/escaso; dominante: recomienda (3); recomienda=3; considera/sugiere=1; evalua/monitoriza=1,3/6: RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mostly aligned or sparse,low,8
Psychosocial and recovery interventions,"Arts, mindfulness, digital and adjunctive psychosocial interventions","Considerar terapias artisticas, mindfulness, ACT psicoterapeutico o intervenciones digitales como complementos, especialmente para recuperacion, sintomas persistentes o objetivos funcionales; no sustituir tratamientos nucleares.",peripheral,Escaso: 1/19 guias (5%); alineado/escaso; dominante: ofrece (1); ofrece=1,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Ausente: 0/6 guias (0%); alineado/escaso; sin recomendaciones,0/6: ninguna,mostly aligned or sparse,low,1
"Service delivery, continuity and implementation",Prescribing governance and off-label documentation,"Documentar cuidadosamente el uso off-label, indicacion clinica, razonamiento, consentimiento/beneficio-riesgo y requisitos de cobertura o subsidio cuando corresponda.",peripheral,Escaso: 1/19 guias (5%); alineado/escaso; dominante: recomienda (1); recomienda=1,Ausente: 0/2 guias (0%); alineado/escaso; sin recomendaciones,0/2: ninguna,Escaso: 1/6 guias (17%); alineado/escaso; dominante: recomienda (1); recomienda=1,1/6: RANZCP 2016,mostly aligned or sparse,low,1
